person_id,gender,age,race,hispanic?,high_school_grad?,ged_received?,first_gen_college?,past_college_enrollment,zipcode,city,state,veteran_status,lead_created_date,hear_about_campus,utm_marketing_channel,application_start_date,first_meaningful_conversation_date,application_submit_date,interview_date,async_interview_date_c,assessment_decision,assessment_attempts,admit_date,admit_status,enroll_date,c,num_phone_calls,offer_letter_status,offer_letter_status_date,fafsa_status,enrollment_identity_verification_status,highschool_grad_verification_status,Registration Status end of first term,Credits Completed end of first term,Credits attempted in students first term,GPA end of First Term,last_date_attendance,quarter_start_date,quarter_end_date
2587,male,31,black,no,yes,no,graduated,no,63132,Saint Louis,MO,notApplicable,2024-08-13,snapchat,snapchat,2024-08-13,,2024-08-13,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2588,female,32,black,no,yes,no,neither,no,75232,Dallas,TX,notApplicable,2024-08-09,google,google,2024-08-09,,2024-08-09,,,not taken,0,,,,FALSE,3,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2589,male,20,white,yes,yes,no,graduated,yes,89103,Las Vegas,NV,notApplicable,2024-06-29,facebook,unknown,2024-06-30,,2024-06-30,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2590,female,21,white,no,yes,no,graduated,yes,90815,Long Beach,CA,notApplicable,2024-08-07,facebook,facebook,2024-08-07,,2024-08-07,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2591,female,51,mixed,no,yes,no,neither,no,29527,Conway,SC,notApplicable,2024-07-10,google,google,2024-07-10,,2024-07-10,,,not taken,0,,,,FALSE,9,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2592,male,20,white,yes,yes,no,unknown,yes,10704,Yonkers,NY,notApplicable,2024-08-30,facebook,facebook,2024-08-30,,2024-08-30,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2593,male,18,black,no,yes,no,unknown,no,77068,Houston,TX,notApplicable,2024-06-20,facebook,facebook,2024-06-21,,2024-06-21,,,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2594,male,25,white,yes,yes,no,attended,no,46360,Michigan City,IN,notApplicable,2024-08-15,facebook,unknown,2024-08-15,,2024-08-15,,,not taken,0,,,,FALSE,1,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2595,male,36,white,no,yes,no,neither,no,85705,Tucson,AZ,notApplicable,2024-08-31,facebook,facebook,2024-08-31,,2024-08-31,,,not taken,0,,,,FALSE,7,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2596,female,37,americanIndian,no,yes,no,attended,no,24986,White Sulphur Springs,WV,notApplicable,2024-09-06,tiktok,facebook,2024-09-06,,2024-09-06,,,not taken,0,,,,FALSE,11,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2597,male,34,black,no,yes,no,unknown,no,45238,Cincinnati,OH,notApplicable,2024-08-26,facebook,facebook,2024-08-26,2024-08-30,2024-08-26,2024-08-30,,failed,1,,,,FALSE,10,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2598,male,19,black,no,yes,no,attended,no,30310,Atlanta,GA,notApplicable,2024-07-26,google,unknown,2024-07-26,2024-07-26,2024-07-26,2024-07-26,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2599,male,32,black,no,no,yes,neither,no,70058,Harvey,LA,notApplicable,2024-08-29,facebook,facebook,2024-08-30,2024-08-30,2024-08-30,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2600,male,23,white,yes,yes,no,unknown,no,04092,Westbrook,ME,notApplicable,2024-09-08,natural search,snapchat,2024-09-08,,2024-09-08,,,not taken,0,,,,FALSE,6,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2601,male,30,black,no,yes,no,neither,yes,0+233,Tamale,,notApplicable,2024-08-04,snapchat,snapchat,2024-08-04,,2024-08-04,,,not taken,0,,,,FALSE,1,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2602,female,20,white,yes,yes,no,neither,no,78223,San Antonio,TX,notApplicable,2024-08-16,facebook,unknown,2024-08-16,,2024-08-16,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2603,male,19,black,no,yes,no,neither,no,71351,Marksville,LA,notApplicable,2024-06-27,wordOfMouth,unknown,2024-06-28,,2024-06-28,,,not taken,0,,,,FALSE,3,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2604,female,26,white,yes,yes,no,unknown,no,33415,West Palm Beach,FL,notApplicable,2024-07-30,tiktok,facebook,2024-07-30,,2024-07-30,,,not taken,0,,,,FALSE,23,not sent,,not completed,rejected,not uploaded,,,,,,2024-10-07,2024-12-12
2606,male,32,mixed,no,yes,no,attended,yes,70427,Bogalusa,LA,veteran,2024-05-23,facebook,facebook,2024-09-03,,2024-09-03,,,not taken,0,,,,FALSE,7,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2607,female,29,black,no,yes,no,neither,no,53205,Milwaukee,WI,notApplicable,2024-09-01,natural search,unknown,2024-09-01,,2024-09-01,,,not taken,0,,,,FALSE,8,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2608,female,27,black,no,no,yes,attended,no,32501,Pensacola,FL,notApplicable,2024-07-16,google,google,2024-07-17,,2024-07-17,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2609,male,53,black,no,yes,no,neither,yes,98422,Tacoma,WA,veteran,2024-08-23,facebook,unknown,2024-08-23,,2024-08-23,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2610,male,18,black,no,no,yes,unknown,no,77640,Port Acres,TX,notApplicable,2024-08-09,referred,unknown,2024-08-09,,2024-08-09,,,not taken,0,,,,FALSE,6,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2611,female,18,mixed,yes,no,yes,neither,no,92204,Indio,CA,notApplicable,2024-07-29,tiktok,tiktok,2024-07-29,2024-08-01,2024-07-29,,,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2612,female,18,black,yes,yes,no,attended,no,30058,Lithonia,GA,notApplicable,2024-07-23,facebook,facebook,2024-07-26,,2024-07-26,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2613,female,32,black,no,yes,no,graduated,no,77642,Port Arthur,TX,notApplicable,2024-07-23,facebook,unknown,2024-07-23,2024-07-31,2024-07-23,,,not taken,0,,,,FALSE,3,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2614,female,19,black,no,yes,no,graduated,no,77356,Montgomery,TX,notApplicable,2024-07-11,facebook,facebook,2024-07-11,,2024-07-11,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2615,male,20,black,no,yes,no,neither,no,70769,Prairieville,LA,notApplicable,2024-08-27,facebook,facebook,2024-08-28,,2024-08-28,,,not taken,0,,,,FALSE,9,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2616,female,22,black,no,yes,no,neither,no,29550,Hartsville,SC,notApplicable,2024-08-13,facebook,facebook,2024-08-13,,2024-08-13,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2617,male,29,white,no,yes,no,neither,no,70119,New Orleans,LA,notApplicable,2024-08-25,tiktok,tiktok,2024-08-25,,2024-08-25,,,failed,1,,,,FALSE,6,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2618,female,32,asian,no,yes,no,graduated,no,90804,Long Beach,CA,notApplicable,2024-08-06,natural search,facebook,2024-08-12,,2024-08-12,,,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2619,female,38,mixed,no,yes,no,unknown,no,76541,Killeen,TX,notApplicable,2024-07-16,facebook,facebook,2024-07-17,,2024-07-17,,,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2620,male,18,asian,no,yes,no,neither,no,01204,Dhaka,,notApplicable,2024-07-29,linkedin,unknown,2024-07-29,,2024-07-29,,,passed,1,,,,FALSE,1,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2621,female,49,white,no,yes,no,neither,yes,63663,Pilot Knob,MO,notApplicable,2024-08-17,facebook,facebook,2024-08-17,,2024-08-17,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2622,female,25,black,no,yes,no,neither,no,47713,Evansville,IN,notApplicable,2024-09-02,facebook,facebook,2024-09-02,,2024-09-02,,,not taken,0,,,,FALSE,9,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2623,female,22,asian,no,yes,no,unknown,no,55371,Princeton,MN,notApplicable,2024-08-27,facebook,unknown,2024-08-27,,2024-08-27,,,not taken,0,,,,FALSE,3,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2624,female,28,black,no,yes,no,attended,yes,30339,Atlanta,GA,notApplicable,2024-08-06,facebook,facebook,2024-08-06,,2024-08-06,,,not taken,0,,,,FALSE,6,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2625,female,65,white,no,yes,no,attended,yes,46049,Fishers,IN,notApplicable,2024-08-17,facebook,facebook,2024-08-17,,2024-08-17,,,not taken,0,,,,FALSE,10,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2626,female,19,black,no,no,yes,neither,no,75227,Dallas,TX,notApplicable,2024-07-18,natural search,facebook,2024-07-18,,2024-07-18,,,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2627,male,20,white,yes,no,yes,unknown,no,06810,Danbury,CT,notApplicable,2024-09-01,facebook,facebook,2024-09-02,,2024-09-02,,,not taken,0,,,,FALSE,6,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2628,female,28,black,no,no,yes,neither,no,29720,Lancaster,SC,notApplicable,2024-07-26,facebook,facebook,2024-07-26,,2024-07-26,,,not taken,0,,,,FALSE,1,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2629,male,58,mixed,no,yes,no,graduated,yes,60610,Chicago,IL,notApplicable,2024-07-13,google,google,2024-07-13,,2024-07-13,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2630,female,27,black,no,yes,no,neither,no,62040,Granite City,IL,notApplicable,2024-07-10,facebook,facebook,2024-07-10,,2024-07-10,,,not taken,0,,,,FALSE,7,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2631,female,29,mixed,no,yes,no,unknown,yes,71301,Alexandria,LA,notApplicable,2024-08-06,facebook,unknown,2024-08-06,2024-08-08,2024-08-06,2024-08-08,2024-08-06,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2632,female,20,black,no,yes,no,attended,yes,39046,Canton,MS,notApplicable,2024-07-28,tiktok,tiktok,2024-07-29,,2024-07-29,,,not taken,0,,,,FALSE,7,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2633,female,46,black,no,no,yes,unknown,no,48214,Detroit,,notApplicable,2024-09-04,other,facebook,2024-09-04,,2024-09-04,,,not taken,0,,,,FALSE,8,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2634,female,64,white,no,yes,no,attended,yes,83607,Caldwell,ID,notApplicable,2024-08-29,facebook,facebook,2024-08-29,,2024-08-29,,,failed,1,,,,FALSE,7,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2635,male,53,white,no,no,yes,neither,no,94520,Concord,CA,notApplicable,2024-07-17,facebook,unknown,2024-07-17,,2024-07-17,,,not taken,0,,,,FALSE,3,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2636,male,31,black,yes,yes,no,unknown,no,78219,San Antonio,TX,notApplicable,2024-08-08,facebook,facebook,2024-08-08,,2024-08-08,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2637,female,20,white,yes,yes,no,neither,yes,90044,Los Angeles,CA,notApplicable,2024-08-09,facebook,facebook,2024-08-09,,2024-08-09,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2638,female,30,white,yes,yes,no,neither,yes,93454,Santa Maria,CA,notApplicable,2024-07-18,facebook,facebook,2024-07-18,,2024-07-18,,,not taken,0,,,,FALSE,8,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2639,male,34,mixed,no,no,yes,graduated,yes,95148,San Jose,CA,notApplicable,2024-07-18,facebook,facebook,2024-07-18,,2024-07-18,,,not taken,0,,,,FALSE,8,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2640,male,22,black,no,yes,no,neither,no,92543,Hemet,CA,notApplicable,2024-07-09,facebook,facebook,2024-07-10,,2024-07-10,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2641,male,29,black,yes,yes,no,unknown,yes,47150,New Albany,IN,notApplicable,2024-08-19,facebook,unknown,2024-08-19,,2024-08-19,,,not taken,0,,,,FALSE,7,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2642,female,23,black,no,yes,no,graduated,yes,90056,Los Angeles,CA,notApplicable,2024-07-10,wordOfMouth,google,2024-07-10,2024-07-11,2024-07-10,2024-07-11,,not taken,0,,,,FALSE,20,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2643,female,18,white,no,no,yes,unknown,no,32068,Middleburg,FL,notApplicable,2024-08-03,tiktok,tiktok,2024-08-04,,2024-08-04,,,not taken,0,,,,FALSE,6,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2644,male,18,black,no,no,yes,neither,no,10701,Yonkers,NY,notApplicable,2024-08-10,tiktok,tiktok,2024-08-11,,2024-08-11,,,not taken,0,,,,FALSE,12,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2645,male,55,black,no,yes,no,graduated,yes,31405,Savannah,GA,notApplicable,2024-08-25,facebook,unknown,2024-08-25,,2024-08-25,,,not taken,0,,,,FALSE,1,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2646,no-binary,21,white,no,yes,no,neither,yes,40701,Corbin,KY,notApplicable,2024-07-24,facebook,facebook,2024-07-24,,2024-07-24,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2647,female,19,black,no,yes,no,graduated,yes,77204,Houston,TX,notApplicable,2024-08-06,snapchat,snapchat,2024-08-06,,2024-08-06,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2648,other,21,mixed,no,no,yes,attended,no,92394,Victorville,CA,notApplicable,2024-06-19,facebook,facebook,2024-06-19,,2024-06-19,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2649,male,19,white,no,no,yes,unknown,no,71461,New Llano,LA,notApplicable,2024-09-07,facebook,snapchat,2024-09-08,,2024-09-08,,,not taken,0,,,,FALSE,6,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2650,female,29,white,yes,yes,no,neither,yes,08731,Forked River,NJ,notApplicable,2024-08-22,facebook,unknown,2024-08-22,,2024-08-22,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2651,female,20,black,no,yes,no,unknown,no,31794,Tifton,GA,notApplicable,2024-06-25,facebook,facebook,2024-06-25,2024-07-08,2024-06-25,2024-07-08,,failed,1,,,,FALSE,14,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2652,female,25,asian,yes,yes,no,graduated,no,92345,Hesperia,CA,notApplicable,2024-08-18,facebook,facebook,2024-08-18,,2024-08-18,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2653,male,29,mixed,yes,yes,no,neither,no,New Y,New York,,notApplicable,2024-09-01,facebook,facebook,2024-09-01,2024-09-03,2024-09-01,2024-09-03,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2654,male,28,white,yes,yes,no,neither,no,30080,Smyrna,GA,notApplicable,2024-09-01,facebook,facebook,2024-09-02,,2024-09-02,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2655,male,22,mixed,yes,yes,no,neither,no,85031,Phoenix,AZ,notApplicable,2024-08-22,facebook,unknown,2024-08-22,,2024-08-22,,,not taken,0,,,,FALSE,8,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2656,female,27,black,no,yes,no,attended,yes,07202,Elizabeth,NJ,notApplicable,2024-07-29,unknown,facebook,2024-07-29,,2024-07-29,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2657,female,27,black,no,yes,no,unknown,yes,94605,Oakland,CA,notApplicable,2024-07-28,unknown,facebook,2024-07-30,2024-07-30,2024-07-30,,,failed,1,,,,FALSE,9,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2658,female,26,white,no,yes,no,neither,yes,71921,Amity,AR,notApplicable,2024-08-21,facebook,facebook,2024-08-21,,2024-08-21,,,not taken,0,,,,FALSE,1,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2659,male,46,white,no,yes,no,unknown,no,80654,Wiggins,CO,notApplicable,2024-08-25,facebook,facebook,2024-08-25,,2024-08-25,,,failed,1,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2660,female,34,black,no,yes,no,unknown,yes,38126,Memphis,TN,notApplicable,2024-07-27,tiktok,unknown,2024-07-27,,2024-07-27,,,not taken,0,,,,FALSE,7,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2661,female,45,white,no,yes,no,unknown,yes,80909,Colorado Springs,CO,notApplicable,2024-08-27,facebook,facebook,2024-08-27,,2024-08-27,,,failed,2,,,,FALSE,11,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
2662,female,39,white,no,yes,no,unknown,no,42564,West Somerset,KY,notApplicable,2024-08-31,facebook,facebook,2024-08-31,,2024-08-31,,,failed,1,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2663,male,18,mixed,no,yes,no,attended,no,70127,New Orleans,LA,notApplicable,2024-08-25,wordOfMouth,snapchat,2024-08-26,,2024-08-26,,,not taken,0,,,,FALSE,4,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2664,female,27,nativeHawaiian,no,yes,no,neither,no,38114,Memphis,TN,notApplicable,2024-08-05,facebook,facebook,2024-08-05,,2024-08-05,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2665,female,44,black,no,yes,no,unknown,yes,55448,Coon Rapids,MN,notApplicable,2024-07-02,google,google,2024-07-02,2024-07-08,2024-07-02,,,not taken,0,,,,FALSE,8,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2666,female,18,white,yes,no,yes,neither,no,77642,Port Arthur,TX,notApplicable,2024-06-27,tiktok,tiktok,2024-06-27,2024-07-01,2024-06-27,,,not taken,0,,,,FALSE,3,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2667,female,25,black,no,yes,no,neither,no,06106,Hartford,CT,notApplicable,2024-07-09,facebook,facebook,2024-07-09,,2024-07-09,,,not taken,0,,,,FALSE,10,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2668,male,18,black,no,no,yes,graduated,no,75249,Dallas,TX,notApplicable,2024-07-21,facebook,facebook,2024-07-22,,2024-07-22,,,not taken,0,,,,FALSE,6,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2669,female,28,white,yes,yes,no,neither,no,23451,Virginia Beach,VA,spouse,2024-07-25,facebook,facebook,2024-07-25,,2024-07-25,,,not taken,0,,,,FALSE,7,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2670,female,38,black,no,no,yes,graduated,no,71457,Natchitoches,LA,notApplicable,2024-09-04,email,facebook,2024-09-04,,2024-09-04,,,failed,1,,,,FALSE,10,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2671,female,24,white,no,yes,no,neither,no,36301,Dothan Al,AL,notApplicable,2024-08-19,facebook,facebook,2024-08-20,,2024-08-20,,,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2672,female,31,black,no,yes,no,unknown,no,39212,Jackson,MS,notApplicable,2024-08-05,facebook,facebook,2024-08-05,,2024-08-05,,,failed,1,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2673,male,18,black,no,yes,no,neither,no,38126,Memphis,TN,notApplicable,2024-08-30,natural search,facebook,2024-08-30,,2024-08-30,,,not taken,0,,,,FALSE,4,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2674,male,30,white,no,no,yes,graduated,no,61920,Charleston,IL,notApplicable,2024-08-29,snapchat,snapchat,2024-08-29,,2024-08-29,,,failed,1,,,,FALSE,1,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2675,male,28,white,no,no,yes,graduated,yes,48185,Westland,MI,notApplicable,2024-05-13,facebook,facebook,2024-08-11,,2024-08-11,,,not taken,0,,,,FALSE,12,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2676,male,33,americanIndian,yes,yes,no,neither,yes,74547,Hartshorne,OK,notApplicable,2024-09-09,facebook,unknown,2024-09-09,,2024-09-09,,,failed,1,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2677,male,29,mixed,yes,no,yes,graduated,no,46143,Greenwood,IN,notApplicable,2024-08-16,facebook,snapchat,2024-08-16,2024-08-19,2024-08-16,,,not taken,0,,,,FALSE,2,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2678,male,20,white,no,yes,no,neither,no,72031,Clinton,AR,notApplicable,2024-06-24,facebook,facebook,2024-06-24,2024-06-28,2024-06-24,,,not taken,0,,,,FALSE,12,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2679,male,23,white,no,yes,no,graduated,no,70449,Maurepas,LA,notApplicable,2024-08-12,facebook,google,2024-08-12,,2024-08-12,,,not taken,0,,,,FALSE,1,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2680,male,24,black,no,no,yes,neither,no,79521,𝙷𝚊𝚜𝚔𝚎𝚕𝚕,TX,notApplicable,2024-08-06,facebook,facebook,2024-08-06,,2024-08-06,,,not taken,0,,,,FALSE,8,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2681,female,34,black,no,yes,no,graduated,no,30223,Griffin,GA,notApplicable,2024-06-29,natural search,google,2024-07-13,,2024-07-13,,,failed,1,,,,FALSE,12,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2682,female,26,mixed,no,yes,no,graduated,yes,90404,Santa Monica,CA,notApplicable,2024-09-04,facebook,facebook,2024-09-04,,2024-09-04,,,not taken,0,,,,FALSE,3,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2683,female,18,mixed,yes,no,yes,neither,no,06779,Oakville,CT,notApplicable,2024-07-30,tiktok,tiktok,2024-07-30,,2024-07-30,,,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2684,female,28,mixed,yes,yes,no,neither,yes,85364,Yuma,AZ,notApplicable,2024-07-09,tiktok,google,2024-07-09,,2024-07-09,,,not taken,0,,,,FALSE,9,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2685,female,23,mixed,no,yes,no,attended,yes,24078,Collinsville,VA,notApplicable,2024-07-17,facebook,facebook,2024-07-17,2024-07-24,2024-07-17,,,not taken,0,,,,FALSE,22,complete,2024-08-02,completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2686,female,25,black,no,yes,no,attended,yes,30144,Lawrenceville,GA,notApplicable,2024-07-23,facebook,facebook,2024-07-23,,2024-07-23,,,not taken,0,,,,FALSE,5,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2687,female,24,white,yes,yes,no,graduated,yes,34743,Kissimmee,FL,notApplicable,2024-08-29,tiktok,tiktok,2024-08-29,,2024-08-29,,2024-08-29,not taken,0,,,,FALSE,4,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2688,male,23,black,no,yes,no,graduated,no,29209,Columbia,SC,notApplicable,2024-08-08,facebook,facebook,2024-08-08,,2024-08-08,,,not taken,0,,,,FALSE,9,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2689,female,25,black,no,yes,no,graduated,yes,19365,Parkesburg,PA,notApplicable,2024-07-01,natural search,unknown,2024-07-01,,2024-07-01,,,not taken,0,,,,FALSE,3,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2690,female,26,black,no,yes,no,neither,yes,33313,Florida,FL,notApplicable,2024-08-09,facebook,unknown,2024-08-09,,2024-08-09,,,not taken,0,,,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
2691,female,21,white,no,yes,no,neither,no,48060,Port Huron,MI,notApplicable,2024-08-20,facebook,facebook,2024-08-20,,2024-08-20,,,not taken,0,,,,FALSE,6,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
2692,male,23,black,no,yes,no,graduated,no,89129,Las Vegas,NV,notApplicable,2024-07-30,google,facebook,2024-07-30,,2024-07-30,,,not taken,0,,,,FALSE,6,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
